                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4082,                 2.8064,                  1.755,                0.68695,                0.34503,                0.20057,                0.08603,                 1.4211,                 2.6618,                0.84165,                      0,                      0,                      0
                      2,                 1.2403,                 2.6092,                  1.437,                0.51509,                0.75069,                0.74975,                0.51875,                 1.4372,                 2.7108,                0.84445,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1411,                 4.2125,                 1.4952,                0.51278,                0.81648,                 0.7476,                0.51963,                 1.4607,                 2.8146,                 0.8565,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2655,                 2.6651,                 1.4485,                0.53318,                0.83333,                0.74745,                0.51888,                  1.485,                 2.8877,                0.86683,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3357,                 2.8495,                 1.6297,                0.62463,                0.83333,                0.76021,                0.50921,                 1.5059,                 2.9972,                0.87529,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.6304,                 4.7071,                 1.9227,                0.64925,                0.58333,                0.77531,                0.48979,                 1.5274,                 3.1473,                0.88968,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.3902,                 2.0835,                 1.5499,                0.65288,                0.58333,                0.77424,                0.48949,                 1.5406,                 3.2418,                0.89637,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5177,                 3.1334,                 1.7834,                0.94125,                0.37512,                0.65966,                0.47365,                 1.5592,                 3.3798,                0.91481,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                   1.07,                 2.5826,                 1.3518,                 0.9406,                0.37337,                0.59576,                0.45695,                 1.5669,                 3.4237,                0.92021,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.96982,                 3.3419,                 1.4882,                0.94006,                0.37357,                0.61852,                0.46176,                 1.5615,                 3.4845,                0.92046,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.3477,                 2.7396,                 1.5315,                0.93892,                0.37335,                0.61864,                0.45963,                 1.5738,                 3.5466,                0.92497,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0398,                  2.044,                 1.3992,                0.93926,                0.37345,                0.63373,                0.46291,                 1.5606,                  3.537,                0.92075,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.96623,                 2.5658,                 1.2303,                0.94014,                0.37356,                0.63359,                   0.47,                 1.5608,                 3.6171,                0.92131,             1.2584e-05,             1.2584e-05,             1.2584e-05
