                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89097,                0.99959,                 1.2323,                0.97824,                0.44361,                0.48145,                  0.359,                0.89146,                 1.4135,                0.66077,              0.0006536,              0.0006536,              0.0006536
                     36,                  0.905,                 1.0097,                 1.2414,                0.86241,                 0.4713,                0.50972,                0.36216,                0.85196,                 1.2845,                0.64935,               0.000614,               0.000614,               0.000614
                     37,                0.88037,                0.99696,                 1.2241,                 0.9275,                0.66917,                0.71915,                0.50488,                0.90731,                 1.3661,                0.68368,              0.0005744,              0.0005744,              0.0005744
                     38,                0.89246,                  1.002,                 1.2307,                 0.9758,                0.60641,                0.66679,                0.48049,                0.86659,                 1.2157,                0.65974,              0.0005348,              0.0005348,              0.0005348
                     39,                0.87156,                0.98534,                 1.2251,                0.93843,                 0.4584,                0.48879,                0.32735,                0.88735,                 1.3638,                 0.6609,              0.0004952,              0.0004952,              0.0004952
                     40,                0.84954,                0.97262,                 1.2106,                0.95838,                0.69247,                0.73136,                0.52424,                0.82364,                 1.2371,                0.63461,              0.0004556,              0.0004556,              0.0004556
                     41,                0.86755,                0.72766,                 1.3062,                0.99353,                0.78947,                0.84752,                0.62038,                0.79854,                 1.1897,                0.63242,               0.000416,               0.000416,               0.000416
                     42,                0.82159,                0.62284,                 1.2482,                0.98025,                0.74637,                0.78436,                0.56588,                0.76671,                 1.1454,                0.61856,              0.0003764,              0.0003764,              0.0003764
                     43,                0.77928,                0.60386,                 1.2159,                0.95572,                0.64911,                0.68141,                 0.4766,                0.77725,                 1.1027,                0.62019,              0.0003368,              0.0003368,              0.0003368
                     44,                0.75742,                0.58402,                  1.203,                0.94734,                0.67634,                0.70722,                0.51538,                0.74815,                 1.0688,                0.60952,              0.0002972,              0.0002972,              0.0002972
                     45,                0.76087,                0.57454,                 1.2047,                0.98998,                 0.7426,                 0.7864,                0.56148,                0.74602,                 1.0488,                0.60555,              0.0002576,              0.0002576,              0.0002576
                     46,                0.73307,                0.56045,                  1.197,                0.97727,                0.96967,                0.98891,                0.70363,                0.72611,                 1.0226,                0.59298,               0.000218,               0.000218,               0.000218
                     47,                0.74026,                0.55245,                 1.1953,                0.95646,                0.78195,                0.79657,                0.57942,                0.72218,                  1.004,                0.57837,              0.0001784,              0.0001784,              0.0001784
                     48,                0.72074,                0.53606,                 1.1891,                0.95509,                0.98496,                0.98923,                0.70846,                0.69665,                0.98034,                0.57017,              0.0001388,              0.0001388,              0.0001388
